Point,Corner,mc_iteration,Pass/Fail,Vo
180,LOCAL,180,,770.2e-3
181,LOCAL,181,,770e-3
182,LOCAL,182,,766.1e-3
183,LOCAL,183,,767.2e-3
184,LOCAL,184,,778.2e-3
185,LOCAL,185,,770e-3
186,LOCAL,186,,756e-3
187,LOCAL,187,,762.5e-3
188,LOCAL,188,,764.7e-3
189,LOCAL,189,,765.1e-3
190,LOCAL,190,,768.2e-3
191,LOCAL,191,,769.2e-3
192,LOCAL,192,,770e-3
193,LOCAL,193,,765.9e-3
194,LOCAL,194,,762.9e-3
195,LOCAL,195,,766.1e-3
196,LOCAL,196,,767.7e-3
197,LOCAL,197,,765.4e-3
198,LOCAL,198,,773e-3
199,LOCAL,199,,768.7e-3
200,LOCAL,200,,767.5e-3
201,LOCAL,201,,760.9e-3
202,LOCAL,202,,772.2e-3
203,LOCAL,203,,770.2e-3
204,LOCAL,204,,760.3e-3
205,LOCAL,205,,761.7e-3
206,LOCAL,206,,769.9e-3
207,LOCAL,207,,763.7e-3
208,LOCAL,208,,769.2e-3
209,LOCAL,209,,770.4e-3
210,LOCAL,210,,774.2e-3
211,LOCAL,211,,769.3e-3
212,LOCAL,212,,765.1e-3
213,LOCAL,213,,765e-3
214,LOCAL,214,,773.1e-3
215,LOCAL,215,,758.5e-3
216,LOCAL,216,,766e-3
217,LOCAL,217,,768.7e-3
218,LOCAL,218,,764.8e-3
219,LOCAL,219,,758.7e-3
220,LOCAL,220,,769.2e-3
221,LOCAL,221,,771.1e-3
222,LOCAL,222,,763.7e-3
223,LOCAL,223,,768.4e-3
224,LOCAL,224,,762e-3
225,LOCAL,225,,769.6e-3
226,LOCAL,226,,767.4e-3
227,LOCAL,227,,772.1e-3
228,LOCAL,228,,766.9e-3
229,LOCAL,229,,767.9e-3
230,LOCAL,230,,763.4e-3
231,LOCAL,231,,767.1e-3
232,LOCAL,232,,768.6e-3
233,LOCAL,233,,768.2e-3
234,LOCAL,234,,760.2e-3
235,LOCAL,235,,768.4e-3
236,LOCAL,236,,761.1e-3
237,LOCAL,237,,762.5e-3
238,LOCAL,238,,769.7e-3
239,LOCAL,239,,772.2e-3
240,LOCAL,240,,768.6e-3
