Point,Corner,mc_iteration,Pass/Fail,Vo
129,GLOBAL_LOCAL,129,,742.2e-3
130,GLOBAL_LOCAL,130,,776.9e-3
131,GLOBAL_LOCAL,131,,759.9e-3
132,GLOBAL_LOCAL,132,,755.9e-3
133,GLOBAL_LOCAL,133,,765.3e-3
134,GLOBAL_LOCAL,134,,745.6e-3
135,GLOBAL_LOCAL,135,,749.2e-3
136,GLOBAL_LOCAL,136,,781.4e-3
137,GLOBAL_LOCAL,137,,760.2e-3
138,GLOBAL_LOCAL,138,,820.7e-3
139,GLOBAL_LOCAL,139,,763.3e-3
140,GLOBAL_LOCAL,140,,743.2e-3
141,GLOBAL_LOCAL,141,,787.1e-3
142,GLOBAL_LOCAL,142,,783e-3
143,GLOBAL_LOCAL,143,,767.6e-3
144,GLOBAL_LOCAL,144,,764.4e-3
145,GLOBAL_LOCAL,145,,752e-3
146,GLOBAL_LOCAL,146,,762.4e-3
147,GLOBAL_LOCAL,147,,778e-3
148,GLOBAL_LOCAL,148,,750.8e-3
149,GLOBAL_LOCAL,149,,768.6e-3
150,GLOBAL_LOCAL,150,,749.5e-3
151,GLOBAL_LOCAL,151,,759.3e-3
152,GLOBAL_LOCAL,152,,769.9e-3
153,GLOBAL_LOCAL,153,,764.7e-3
154,GLOBAL_LOCAL,154,,804.6e-3
155,GLOBAL_LOCAL,155,,788.7e-3
156,GLOBAL_LOCAL,156,,761.5e-3
157,GLOBAL_LOCAL,157,,753.3e-3
158,GLOBAL_LOCAL,158,,748.4e-3
159,GLOBAL_LOCAL,159,,771.3e-3
160,GLOBAL_LOCAL,160,,758.3e-3
161,GLOBAL_LOCAL,161,,732.7e-3
162,GLOBAL_LOCAL,162,,767e-3
163,GLOBAL_LOCAL,163,,751.8e-3
164,GLOBAL_LOCAL,164,,791.4e-3
165,GLOBAL_LOCAL,165,,796.2e-3
166,GLOBAL_LOCAL,166,,788.8e-3
167,GLOBAL_LOCAL,167,,772.4e-3
168,GLOBAL_LOCAL,168,,757e-3
169,GLOBAL_LOCAL,169,,752.4e-3
170,GLOBAL_LOCAL,170,,779.4e-3
171,GLOBAL_LOCAL,171,,764e-3
172,GLOBAL_LOCAL,172,,772.5e-3
173,GLOBAL_LOCAL,173,,775.7e-3
174,GLOBAL_LOCAL,174,,745.2e-3
175,GLOBAL_LOCAL,175,,768.2e-3
176,GLOBAL_LOCAL,176,,771.6e-3
177,GLOBAL_LOCAL,177,,771.8e-3
178,GLOBAL_LOCAL,178,,782.7e-3
179,GLOBAL_LOCAL,179,,781.1e-3
180,GLOBAL_LOCAL,180,,805.7e-3
181,GLOBAL_LOCAL,181,,792e-3
182,GLOBAL_LOCAL,182,,779.8e-3
183,GLOBAL_LOCAL,183,,801.7e-3
184,GLOBAL_LOCAL,184,,766.1e-3
185,GLOBAL_LOCAL,185,,761.2e-3
186,GLOBAL_LOCAL,186,,726.7e-3
187,GLOBAL_LOCAL,187,,770.1e-3
188,GLOBAL_LOCAL,188,,780.8e-3
189,GLOBAL_LOCAL,189,,745.9e-3
190,GLOBAL_LOCAL,190,,727.6e-3
191,GLOBAL_LOCAL,191,,781.5e-3
192,GLOBAL_LOCAL,192,,743.6e-3
193,GLOBAL_LOCAL,193,,746.1e-3
194,GLOBAL_LOCAL,194,,767.5e-3
195,GLOBAL_LOCAL,195,,719.8e-3
196,GLOBAL_LOCAL,196,,768.3e-3
197,GLOBAL_LOCAL,197,,762.6e-3
198,GLOBAL_LOCAL,198,,758.4e-3
199,GLOBAL_LOCAL,199,,759.6e-3
200,GLOBAL_LOCAL,200,,751.5e-3
201,GLOBAL_LOCAL,201,,765.4e-3
202,GLOBAL_LOCAL,202,,803.7e-3
203,GLOBAL_LOCAL,203,,755.2e-3
204,GLOBAL_LOCAL,204,,757.4e-3
205,GLOBAL_LOCAL,205,,768.6e-3
206,GLOBAL_LOCAL,206,,762.2e-3
207,GLOBAL_LOCAL,207,,754.9e-3
208,GLOBAL_LOCAL,208,,759.4e-3
209,GLOBAL_LOCAL,209,,791.8e-3
210,GLOBAL_LOCAL,210,,761.2e-3
211,GLOBAL_LOCAL,211,,775.1e-3
212,GLOBAL_LOCAL,212,,754.4e-3
213,GLOBAL_LOCAL,213,,782.3e-3
214,GLOBAL_LOCAL,214,,742.1e-3
215,GLOBAL_LOCAL,215,,755.6e-3
216,GLOBAL_LOCAL,216,,768.9e-3
217,GLOBAL_LOCAL,217,,773.8e-3
218,GLOBAL_LOCAL,218,,774.2e-3
219,GLOBAL_LOCAL,219,,770.8e-3
220,GLOBAL_LOCAL,220,,754.9e-3
221,GLOBAL_LOCAL,221,,768e-3
222,GLOBAL_LOCAL,222,,757.4e-3
223,GLOBAL_LOCAL,223,,775.6e-3
224,GLOBAL_LOCAL,224,,784.3e-3
225,GLOBAL_LOCAL,225,,784.3e-3
226,GLOBAL_LOCAL,226,,798.1e-3
227,GLOBAL_LOCAL,227,,789.7e-3
228,GLOBAL_LOCAL,228,,776.5e-3
229,GLOBAL_LOCAL,229,,771.9e-3
230,GLOBAL_LOCAL,230,,761.6e-3
231,GLOBAL_LOCAL,231,,727.4e-3
232,GLOBAL_LOCAL,232,,762.4e-3
233,GLOBAL_LOCAL,233,,778.3e-3
234,GLOBAL_LOCAL,234,,773.3e-3
235,GLOBAL_LOCAL,235,,778.7e-3
236,GLOBAL_LOCAL,236,,752.5e-3
237,GLOBAL_LOCAL,237,,766e-3
238,GLOBAL_LOCAL,238,,744.1e-3
239,GLOBAL_LOCAL,239,,783.1e-3
240,GLOBAL_LOCAL,240,,781.4e-3
241,GLOBAL_LOCAL,241,,751e-3
242,GLOBAL_LOCAL,242,,749.5e-3
243,GLOBAL_LOCAL,243,,759.7e-3
244,GLOBAL_LOCAL,244,,767.3e-3
245,GLOBAL_LOCAL,245,,782.7e-3
246,GLOBAL_LOCAL,246,,739.7e-3
247,GLOBAL_LOCAL,247,,774.9e-3
248,GLOBAL_LOCAL,248,,775.2e-3
249,GLOBAL_LOCAL,249,,774.3e-3
250,GLOBAL_LOCAL,250,,757e-3
251,GLOBAL_LOCAL,251,,795.5e-3
252,GLOBAL_LOCAL,252,,780.4e-3
253,GLOBAL_LOCAL,253,,791e-3
254,GLOBAL_LOCAL,254,,753.6e-3
255,GLOBAL_LOCAL,255,,767.9e-3
256,GLOBAL_LOCAL,256,,745.6e-3
257,GLOBAL_LOCAL,257,,767.6e-3
258,GLOBAL_LOCAL,258,,773.9e-3
259,GLOBAL_LOCAL,259,,766.4e-3
260,GLOBAL_LOCAL,260,,771e-3
261,GLOBAL_LOCAL,261,,774.2e-3
262,GLOBAL_LOCAL,262,,775.6e-3
