Point,Corner,mc_iteration,Pass/Fail,Vo
129,GLOBAL_LOCAL,129,,768.6e-3
130,GLOBAL_LOCAL,130,,784.9e-3
131,GLOBAL_LOCAL,131,,734.2e-3
132,GLOBAL_LOCAL,132,,777.5e-3
133,GLOBAL_LOCAL,133,,788.5e-3
134,GLOBAL_LOCAL,134,,785.3e-3
135,GLOBAL_LOCAL,135,,744e-3
136,GLOBAL_LOCAL,136,,779.3e-3
137,GLOBAL_LOCAL,137,,768.6e-3
138,GLOBAL_LOCAL,138,,760.5e-3
139,GLOBAL_LOCAL,139,,795.4e-3
140,GLOBAL_LOCAL,140,,764.1e-3
141,GLOBAL_LOCAL,141,,729.9e-3
142,GLOBAL_LOCAL,142,,781e-3
143,GLOBAL_LOCAL,143,,752.2e-3
144,GLOBAL_LOCAL,144,,785e-3
145,GLOBAL_LOCAL,145,,774.6e-3
146,GLOBAL_LOCAL,146,,744.2e-3
147,GLOBAL_LOCAL,147,,756.6e-3
148,GLOBAL_LOCAL,148,,767.4e-3
149,GLOBAL_LOCAL,149,,756e-3
150,GLOBAL_LOCAL,150,,770.8e-3
151,GLOBAL_LOCAL,151,,771.2e-3
152,GLOBAL_LOCAL,152,,759.7e-3
153,GLOBAL_LOCAL,153,,758.9e-3
154,GLOBAL_LOCAL,154,,782.8e-3
155,GLOBAL_LOCAL,155,,782.6e-3
156,GLOBAL_LOCAL,156,,759.7e-3
157,GLOBAL_LOCAL,157,,775.2e-3
158,GLOBAL_LOCAL,158,,744.3e-3
159,GLOBAL_LOCAL,159,,774.1e-3
160,GLOBAL_LOCAL,160,,781.5e-3
161,GLOBAL_LOCAL,161,,785.9e-3
162,GLOBAL_LOCAL,162,,782.6e-3
163,GLOBAL_LOCAL,163,,747.1e-3
164,GLOBAL_LOCAL,164,,767.4e-3
165,GLOBAL_LOCAL,165,,758e-3
166,GLOBAL_LOCAL,166,,782.8e-3
167,GLOBAL_LOCAL,167,,743.1e-3
168,GLOBAL_LOCAL,168,,766.2e-3
169,GLOBAL_LOCAL,169,,786.5e-3
170,GLOBAL_LOCAL,170,,788.2e-3
171,GLOBAL_LOCAL,171,,761.8e-3
172,GLOBAL_LOCAL,172,,769.3e-3
173,GLOBAL_LOCAL,173,,769.7e-3
174,GLOBAL_LOCAL,174,,763.8e-3
175,GLOBAL_LOCAL,175,,742.8e-3
176,GLOBAL_LOCAL,176,,814.8e-3
177,GLOBAL_LOCAL,177,,761.4e-3
178,GLOBAL_LOCAL,178,,768.7e-3
179,GLOBAL_LOCAL,179,,776.1e-3
